Month,Min.Price,Max.Price,Model.Price,Retail.Price,ArrivalQty
1/1/2020,4000,8000,6000,10000,200
1/2/2020,4200,8000,6500,10000,180
1/3/2020,4500,8000,7000,10000,200
1/4/2020,4300,8000,7600,10000,220
1/5/2020,,,,,
1/6/2020,4000,6000,5000,8000,200
1/7/2020,4200,6000,5500,8000,180
1/8/2020,4000,6200,5400,8000,200
1/9/2020,3800,5500,5000,8000,180
1/10/2020,4000,6000,5200,8000,160
1/11/2020,4000,6000,5000,8000,165
1/12/2020,,,,,
1/13/2020,3600,5000,4500,8000,140
1/14/2020,2800,4000,3000,8000,120
1/15/2020,2600,4000,3200,8000,100
1/16/2020,2200,4000,3000,6000,20
1/17/2020,2200,4000,2800,6000,18
1/18/2020,2100,5000,3000,8000,80
1/19/2020,,,,,
1/20/2020,2800,6000,4500,9000,100
1/21/2020,3000,5000,4000,8000,80
1/22/2020,2000,4000,3200,8000,110
1/23/2020,2200,5000,4000,8000,180
1/24/2020,2100,5000,4200,8000,120
1/25/2020,2200,4800,4000,8000,200
1/26/2020,,,,,
1/27/2020,2300,4600,3500,8000,230
1/28/2020,2000,3400,3000,8000,280
1/29/2020,2200,4000,3000,8000,260
1/30/2020,2100,3800,2800,8000,300
1/31/2020,2000,3600,2600,8000,270
2/1/2020,2000,3600,3000,7000,180
2/2/2020,,,,,
2/3/2020,2100,3600,3000,7000,170
2/4/2020,2000,3400,2900,7000,150
2/5/2020,1800,3200,2800,7000,158
2/6/2020,2000,3000,2600,7000,180
2/7/2020,2100,2800,2300,7000,200
2/8/2020,1800,2500,2100,8000,218
2/9/2020,,,,,
2/10/2020,2000,2800,2200,8000,300
2/11/2020,1800,2800,2200,8000,280
2/12/2020,1800,2600,2400,8000,240
2/13/2020,1600,2400,2000,8000,220
2/14/2020,1500,2400,2000,7000,210
2/15/2020,1600,2500,2100,8000,260
2/16/2020,,,,,
2/17/2020,1600,2400,2000,7000,240
2/18/2020,1400,2500,2100,7000,270
2/19/2020,1200,2400,2000,6000,440
2/20/2020,1200,2500,2100,6000,500
2/21/2020,1400,2500,2200,6000,480
2/22/2020,1000,2200,1800,6000,540
2/23/2020,,,,,
2/24/2020,1200,2300,1800,7000,400
2/25/2020,1000,2200,1500,6000,380
2/26/2020,1000,2500,1800,7000,32
2/27/2020,1100,2600,1900,8000,400
2/28/2020,1200,2400,1800,7000,680
2/29/2020,1000,2200,1600,6000,700
3/1/2020,,,,,
3/2/2020,1200,2200,1800,8000,440
3/3/2020,1000,2200,1900,7000,600
3/4/2020,1000,2100,1800,6000,427
3/5/2020,1000,2000,1500,5000,400
3/6/2020,1100,2500,1800,5000,380
3/7/2020,1000,2100,1700,5000,376
3/8/2020,,,,,
3/9/2020,950,2000,1600,5000,360
3/10/2020,,,,,
3/11/2020,1000,2000,1600,5000,322
3/12/2020,1000,2100,1700,5000,356
3/13/2020,1100,2500,1800,5100,509
3/14/2020,1100,2400,1700,5000,634
3/15/2020,,,,,
3/16/2020,1000,2100,1600,6000,550
3/17/2020,1100,2000,1800,6000,358
3/18/2020,1000,2000,1600,6000,430
