Date,Centre_Name,Commodity_Name,Price
15-04-2010,VIJAYWADA,Potato,8.0
16-04-2010,VIJAYWADA,Potato,8.0
19-04-2010,VIJAYWADA,Potato,10.0
20-04-2010,VIJAYWADA,Potato,10.0
21-04-2010,VIJAYWADA,Potato,10.0
22-04-2010,VIJAYWADA,Potato,10.0
23-04-2010,VIJAYWADA,Potato,10.0
26-04-2010,VIJAYWADA,Potato,10.0
27-04-2010,VIJAYWADA,Potato,10.0
28-04-2010,VIJAYWADA,Potato,10.0
29-04-2010,VIJAYWADA,Potato,10.0
30-04-2010,VIJAYWADA,Potato,10.0
03-05-2010,VIJAYWADA,Potato,9.0
04-05-2010,VIJAYWADA,Potato,11.0
05-05-2010,VIJAYWADA,Potato,11.0
06-05-2010,VIJAYWADA,Potato,11.0
07-05-2010,VIJAYWADA,Potato,11.0
10-05-2010,VIJAYWADA,Potato,11.0
11-05-2010,VIJAYWADA,Potato,11.0
12-05-2010,VIJAYWADA,Potato,11.0
13-05-2010,VIJAYWADA,Potato,11.0
14-05-2010,VIJAYWADA,Potato,9.0
17-05-2010,VIJAYWADA,Potato,10.0
18-05-2010,VIJAYWADA,Potato,10.0
19-05-2010,VIJAYWADA,Potato,10.0
20-05-2010,VIJAYWADA,Potato,11.0
21-05-2010,VIJAYWADA,Potato,11.0
24-05-2010,VIJAYWADA,Potato,11.0
25-05-2010,VIJAYWADA,Potato,12.0
26-05-2010,VIJAYWADA,Potato,12.0
28-05-2010,VIJAYWADA,Potato,12.0
31-05-2010,VIJAYWADA,Potato,11.0
01-06-2010,VIJAYWADA,Potato,12.0
02-06-2010,VIJAYWADA,Potato,12.0
03-06-2010,VIJAYWADA,Potato,11.0
04-06-2010,VIJAYWADA,Potato,11.0
07-06-2010,VIJAYWADA,Potato,11.0
08-06-2010,VIJAYWADA,Potato,11.0
09-06-2010,VIJAYWADA,Potato,11.0
10-06-2010,VIJAYWADA,Potato,11.0
11-06-2010,VIJAYWADA,Potato,11.0
